"Minority","Female","callback","Company_anonymous","Industry_broad","Employees","Private","Language_important"
1,0,0,"a312","Administrative support",61,1,1
0,0,0,"a313","Construction & Extraction",56,1,0
1,0,0,"a314","Administrative support",60,1,1
0,0,0,"a315","Administrative support",52,1,1
1,1,0,"a316","Administrative support",76,1,1
1,1,0,"a317","Construction & Extraction",57,1,0
1,0,0,"a318","Retail",58,1,0
0,1,1,"a319","Sales & related",25,1,1
0,0,0,"a32","Sales & related",30,1,0
1,0,1,"a320","Sales & related",51,1,1
0,0,0,"a321","Construction & Extraction",61,1,0
1,1,1,"a322","Construction & Extraction",72,1,0
1,0,0,"a323","Education",60,0,1
1,0,1,"a324","Education",35,0,1
0,0,0,"a325","Administrative support",51,1,1
1,0,0,"a326","Administrative support",57,1,1
1,0,0,"a327","Retail",35,1,1
1,1,0,"a328","Health care",119,0,1
1,0,0,"a329","Health care",25,0,1
1,0,0,"a33","Construction & Extraction",56,1,0
1,0,0,"a330","Health care",107,1,1
1,1,0,"a331","Health care",25,0,1
1,0,0,"a332","Administrative support",25,1,0
0,0,0,"a333","Education",71,0,1
1,0,0,"a334","Sales & related",61,1,1
1,0,0,"a335","Construction & Extraction",54,1,1
0,0,1,"a336","Administrative support",51,1,1
1,0,1,"a337","Health care",64,0,1
1,1,1,"a338","Health care",55,0,1
0,0,0,"a339","Retail",55,0,0
0,0,0,"a34","Construction & Extraction",20,1,0
1,1,0,"a340","Construction & Extraction",54,1,1
1,0,0,"a341","Construction & Extraction",75,1,1
1,1,0,"a342","Construction & Extraction",53,1,0
1,0,0,"a343","Construction & Extraction",63,1,0
1,1,0,"a344","Education",62,0,1
1,0,0,"a345","Administrative support",57,1,1
1,0,0,"a346","Administrative support",72,1,1
0,1,1,"a347","Administrative support",81,0,1
1,1,1,"a348","Construction & Extraction",66,1,0
1,0,1,"a349","Health care",72,0,0
0,0,0,"a35","Construction & Extraction",15,1,0
1,1,0,"a350","Administrative support",56,1,1
1,0,0,"a351","Administrative support",35,1,1
0,0,1,"a352","Construction & Extraction",51,1,0
1,0,0,"a353","Administrative support",15,1,1
1,0,1,"a354","Sales & related",51,1,1
1,0,0,"a355","Sales & related",15,1,1
1,1,1,"a356","Sales & related",30,1,1
0,0,1,"a357","Sales & related",25,1,1
1,0,0,"a358","Construction & Extraction",135,1,0
1,1,1,"a359","Health care",40,1,0
1,0,0,"a36","Construction & Extraction",88,1,0
1,1,1,"a360","Health care",105,0,0
0,0,0,"a361","Administrative support",122,1,1
0,1,0,"a362","Administrative support",57,0,1
0,1,0,"a363","Construction & Extraction",85,1,1
0,0,0,"a364","Education",84,0,1
1,0,0,"a365","Administrative support",30,1,0
1,0,0,"a366","Administrative support",62,1,1
0,0,0,"a367","Administrative support",60,1,0
1,0,0,"a368","Construction & Extraction",60,1,0
1,1,1,"a369","Health care",112,0,0
0,0,0,"a37","Sales & related",110,1,1
1,0,0,"a370","Health care",25,0,0
1,1,0,"a371","Education",25,1,1
1,0,0,"a372","Health care",69,0,0
0,1,1,"a373","Health care",54,0,0
0,0,1,"a374","Construction & Extraction",60,1,1
0,0,0,"a375","Construction & Extraction",68,1,0
1,1,1,"a376","Sales & related",108,1,1
0,0,0,"a377","Administrative support",25,1,1
1,0,0,"a378","Construction & Extraction",53,1,0
1,0,0,"a379","Health care",83,0,0
0,1,0,"a38","Retail",25,1,1
1,0,0,"a380","Administrative support",15,1,0
0,1,0,"a381","Sales & related",95,1,1
1,0,0,"a382","Education",59,1,1
1,1,0,"a383","Construction & Extraction",60,1,1
0,0,0,"a384","Administrative support",25,1,1
0,1,1,"a385","Administrative support",60,1,0
1,0,0,"a386","Construction & Extraction",51,1,0
0,1,0,"a387","Construction & Extraction",9,1,1
1,1,0,"a388","Construction & Extraction",3,1,1
0,0,1,"a389","Retail",15,1,1
1,1,0,"a39","Retail",25,1,1
0,1,0,"a390","Retail",25,1,0
0,0,0,"a391","Retail",76,1,0
0,0,0,"a392","Retail",16,1,0
0,1,1,"a393","Health care",53,0,0
1,1,0,"a394","Health care",50,0,0
1,0,0,"a395","Health care",79,0,0
0,1,0,"a396","Health care",50,0,0
0,0,1,"a397","Health care",30,0,0
0,0,0,"a398","Health care",35,0,0
0,0,0,"a399","Health care",30,0,0
1,0,0,"a4","Construction & Extraction",57,0,0
0,1,0,"a40","Education",51,0,1
0,0,0,"a400","Health care",70,0,0
0,1,0,"a41","Education",25,0,1
0,1,0,"a42","Construction & Extraction",6,1,0
1,1,0,"a43","Retail",82,1,1
1,1,0,"a44","Retail",25,1,1
1,1,0,"a45","Retail",8,1,1
0,1,0,"a46","Retail",85,1,1
0,1,0,"a47","Retail",65,1,0
0,1,0,"a48","Retail",20,1,0
0,1,1,"a49","Retail",78,1,0
0,0,1,"a5","Health care",50,0,0
1,0,0,"a50","Retail",56,1,0
1,0,1,"a51","Education",9,0,1
1,0,0,"a52","Education",50,0,1
0,0,0,"a53","Education",25,0,1
0,0,0,"a54","Administrative support",30,0,0
0,0,1,"a55","Sales & related",67,1,1
0,0,1,"a56","Sales & related",72,1,1
1,0,0,"a57","Sales & related",58,1,1
1,0,0,"a58","Education",15,0,1
0,0,1,"a59","Education",30,0,1
1,0,1,"a6","Health care",20,0,0
0,0,1,"a60","Education",53,0,1
0,0,1,"a61","Education",52,0,1
0,0,1,"a62","Health care",25,0,0
0,0,0,"a63","Health care",7,1,0
0,0,0,"a64","Health care",30,0,0
1,0,0,"a65","Health care",25,0,0
0,1,0,"a66","Sales & related",10,0,1
1,1,0,"a67","Sales & related",10,1,1
1,1,0,"a68","Administrative support",58,1,1
0,1,0,"a69","Administrative support",15,1,0
0,0,1,"a7","Health care",25,0,0
0,1,1,"a70","Education",50,0,1
0,1,1,"a71","Construction & Extraction",10,1,0
0,1,1,"a72","Retail",30,0,1
1,1,0,"a73","Retail",65,1,1
1,1,1,"a74","Retail",30,1,1
0,1,0,"a75","Education",30,0,1
1,1,1,"a76","Retail",30,1,1
0,1,1,"a77","Education",55,0,1
1,1,0,"a78","Health care",25,0,0
0,1,0,"a79","Education",15,0,1
0,0,0,"a8","Retail",41,1,0
0,1,0,"a80","Education",20,0,1
1,1,0,"a81","Administrative support",50,1,1
0,1,0,"a82","Education",15,0,1
